,hotel,indirizzo,rating,dataIns
0,Hotel Central Park,"Via Tonfano 305 Versilia, 55045 Marina di Pietrasanta Italia",,2019-07-05
1,Hotel Central Park,"Via Tonfano 305 Versilia, 55045 Marina di Pietrasanta Italia",,2019-07-05
2,Hotel Central Park,"Via Tonfano 305 Versilia, 55045 Marina di Pietrasanta Italia",,2019-07-05
3,Hotel Central Park,"Via Tonfano 305 Versilia, 55045 Marina di Pietrasanta Italia",,2019-07-05
4,Hotel Venezia,"Via Firenze 48, 55045 Marina di Pietrasanta Italia",,2019-07-05
5,Hotel Venezia,"Via Firenze 48, 55045 Marina di Pietrasanta Italia",,2019-07-05
6,Hotel Venezia,"Via Firenze 48, 55045 Marina di Pietrasanta Italia",,2019-07-05
7,Hotel Venezia,"Via Firenze 48, 55045 Marina di Pietrasanta Italia",,2019-07-05
8,L'Alba Hotel,"Via Cristoforo Colombo 23, 55045 Marina di Pietrasanta Italia",,2019-07-05
9,L'Alba Hotel,"Via Cristoforo Colombo 23, 55045 Marina di Pietrasanta Italia",,2019-07-05
10,L'Alba Hotel,"Via Cristoforo Colombo 23, 55045 Marina di Pietrasanta Italia",,2019-07-05
11,L'Alba Hotel,"Via Cristoforo Colombo 23, 55045 Marina di Pietrasanta Italia",,2019-07-05
12,Hotel San Siro,"Via Leonardo da Vinci, 25, 55045 Marina di Pietrasanta Italia",,2019-07-05
13,Hotel San Siro,"Via Leonardo da Vinci, 25, 55045 Marina di Pietrasanta Italia",,2019-07-05
14,Hotel San Siro,"Via Leonardo da Vinci, 25, 55045 Marina di Pietrasanta Italia",,2019-07-05
15,Hotel San Siro,"Via Leonardo da Vinci, 25, 55045 Marina di Pietrasanta Italia",,2019-07-05
16,La Versiliana Hotel,"Piazza Giosue' Carducci 1, 55045 Marina di Pietrasanta Italia",,2019-07-05
17,La Versiliana Hotel,"Piazza Giosue' Carducci 1, 55045 Marina di Pietrasanta Italia",,2019-07-05
18,La Versiliana Hotel,"Piazza Giosue' Carducci 1, 55045 Marina di Pietrasanta Italia",,2019-07-05
19,La Versiliana Hotel,"Piazza Giosue' Carducci 1, 55045 Marina di Pietrasanta Italia",,2019-07-05
20,Hotel Trieste,"Via San Rocco 3/5, 23017, Morbegno Italia",,2019-07-05
21,Hotel Trieste,"Via San Rocco 3/5, 23017, Morbegno Italia",,2019-07-05
22,Hotel Trieste,"Via San Rocco 3/5, 23017, Morbegno Italia",,2019-07-05
23,Hotel Trieste,"Via San Rocco 3/5, 23017, Morbegno Italia",,2019-07-05
24,La Brace Hotel Ristorante,"Via Piani, 1 Strada Statale dello Stelvio Km 22.3, 23010 Forcola Italia",,2019-07-05
25,La Brace Hotel Ristorante,"Via Piani, 1 Strada Statale dello Stelvio Km 22.3, 23010 Forcola Italia",,2019-07-05
26,La Brace Hotel Ristorante,"Via Piani, 1 Strada Statale dello Stelvio Km 22.3, 23010 Forcola Italia",,2019-07-05
27,La Brace Hotel Ristorante,"Via Piani, 1 Strada Statale dello Stelvio Km 22.3, 23010 Forcola Italia",,2019-07-05
28,Hotel Il Portichetto,"Via della Foppa 2 Vezio, 23828, Perledo Italia",,2019-07-05
