;hotel;indirizzo;dataIns;province;città;nazione;lat;lng
179;B&B Igea.50;Via Igea 50, 41126, Modena Italia;2019-07-05;Modena;Modena;Italy;44.613826;10.888127
180;PHI Hotel Canalgrande;Corso Canalgrande 6, 41121, Modena Italia;2019-07-05;Modena;Modena;Italy;44.643388;10.927449
181;Ambasciatori Hotel;Via Litoranea Nord 23, 47843, Misano Adriatico Italia;2019-07-05;Rimini;Misano Adriatico;Italy;43.981197;12.697576
182;Hotel Touring;Via Litoranea Nord 65, 47843, Misano Adriatico Italia;2019-07-05;Rimini;Misano Adriatico;Italy;43.985255;12.689559
183;Hotel Aquila D'Oro;Via Sardegna, 29, 47843, Misano Adriatico Italia;2019-07-05;Rimini;Misano Adriatico;Italy;43.983798;12.687442
184;HOTEL MAIOLI;via matteotti 12, 47843, Misano Adriatico Italia;2019-07-05;Rimini;Misano Adriatico;Italy;43.978141;12.69545
185;La Casa Nella Prateria;Via Castellaro 12, 47843, Misano Adriatico Italia;2019-07-05;Rimini;Misano Adriatico;Italy;43.951373;12.659879
186;Locanda San Biagio;Via del Carro, 42, 47843, Misano Adriatico Italia;2019-07-05;Rimini;Misano Adriatico;Italy;43.98;12.69
187;Fra i Sassi Residence;Via D'Addozio 102 Sasso Barisano, 75100, Matera Italia;2019-07-05;Matera;Matera;Italy;40.669237;16.609539
188;Le Dodici Lune Residence;Via San Giacomo, 27 Sasso Caveoso vicino al MUSMA, 75100, Matera Italia;2019-07-05;Matera;Matera;Italy;40.666003;16.61196
189;Masseria Santa Lucia;Via dei Mestieri snc ( incrocio via delle Arti ), 75100, Matera Italia;2019-07-05;Matera;Matera;Italy;40.673797;16.573357
190;La Casa di Ele;Via San Biagio, 26, 75100, Matera Italia;2019-07-05;Matera;Matera;Italy;40.667636;16.608044
191;Hydria Residence;Via Piave 10, 75100, Matera Italia;2019-07-05;Matera;Matera;Italy;40.669331;16.607652
192;Il Nespolo;Vico III Casalnuovo 18, 75100, Matera Italia;2019-07-05;Matera;Matera;Italy;40.66183;16.610857
193;Antico Convicino Rooms Suites & SPA;Via San Pietro Caveoso 18/30, 75100, Matera Italia;2019-07-05;Matera;Matera;Italy;40.664566;16.610072
194;Agriturismo La Corte del Lupo;Localita Pertana 43, 06025 Nocera Umbra Italia;2019-07-05;Perugia;Nocera Umbra;Italy;43.152522;12.758165
195;Grand Hotel Assisi;Via G. Renzi, 2, 06081, Assisi Italia;2019-07-05;Perugia;Assisi;Italy;43.06;12.58
196;Hotel Mom Assisi;Piazza Dante Alighieri, 3, 06081 Santa Maria degli Angeli, Assisi Italia;2019-07-05;Perugia;Assisi;Italy;43.059368;12.585689
197;Relais Ducale Hotel;Piazza Grande ,5 Via Galeotti, 19, 06024, Gubbio Italia;2019-07-05;Perugia;Gubbio;Italy;43.353521;12.578755
198;Smeraldo Suites & Spa;via Rinascimento 141, 63074, San Benedetto Del Tronto Italia;2019-07-05;Ascoli Piceno;San Benedetto del Tronto;Italy;42.921348;13.900887
199;B&B Del Castello;Via Elio Fileni 30, 63074, San Benedetto Del Tronto Italia;2019-07-05;Ascoli Piceno;San Benedetto del Tronto;Italy;42.949536;13.876589
200;B&B Mare d'amare;Viale Alcide de Gasperi 91, 63074, San Benedetto Del Tronto Italia;2019-07-05;Ascoli Piceno;San Benedetto del Tronto;Italy;42.946615;13.88289
201;Bed and breakfast Incanto Sotto il Mare;Via Faustina Maratta 1 angolo via C. Sforza, 63074, San Benedetto Del Tronto Italia;2019-07-05;Ascoli Piceno;San Benedetto del Tronto;Italy;42.933886;13.891352
202;La Panoramica;Via Panoramica 20, 63074, San Benedetto Del Tronto Italia;2019-07-05;Ascoli Piceno;San Benedetto del Tronto;Italy;42.933753;13.860162
203;Hotel Concorde;Piazza Stazione 2, 26900, Lodi Italia;2019-07-05;Lodi;Lodi;Italy;45.31;9.5
204;B&B Hotel Milano Monza;Via Lario 19, 20052 Monza Italia;2019-07-05;Kentucky;;United States;37.3275;-86.9467
205;Hotel Royal Falcone;Corso Milano 5, 20900 Monza Italia;2019-07-05;Monza E Della Brianza;Monza;Italy;45.579735;9.272908
206;Hotel Maranello Village;Viale Terra delle Rosse, 12, 41053, Maranello Italia;2019-07-05;Modena;Maranello;Italy;44.530987;10.89777
207;Planet Hotel;Via Giovanni Verga 22, 41053, Maranello Italia;2019-07-05;Modena;Maranello;Italy;44.532268;10.863687
208;Hotel Panorama;Via Giuseppe Mazzini, 7,, 07026, Olbia, Sardegna Italia;2019-07-05;Olbia-Tempio;Olbia;Italy;40.92;9.5
209;Hotel Il Guercino;Via Luigi Serra 7, 40129 Bologna Italia;2019-07-05;Bologna;Bologna;Italy;44.509281;11.345528
